,names,films,tv_shows,park_attractions
533,"Arata, Hideo, and Yumi",,'Penn Zero: Part-Time Hero',
534,Archmage,,'Gargoyles',
535,Arlo,'The Good Dinosaur',,
536,Arlo,'Monsters University',,
537,Arlo,'Inside Out',,
538,Arlo,'Ralph Breaks the Internet',,
539,Arlo,'Toy Story 4',,
540,Asgardian Gods,,'Hercules (TV series)',
541,Astra,,'Star Darlings',
542,Athena,'Hercules (film)','Hercules (TV series)',
543,Audrey,'Descendants','Descendants: Wicked World',
544,Audrey,'Descendants 3',,
545,Audrey,'Descendants: The Royal Wedding',,
546,Aunt Bridget,,'The Evermoor Chronicles',
547,Ayam Aghoul,,'Aladdin (TV series)',
548,Azaad,,'The Lion Guard',
549,Baby Earl,,'Timon & Pumbaa',
550,Baby Panda,,'Mickey Mouse (TV series)',
551,The Baker,,,
552,Baliyo,,'The Lion Guard',
553,Ballerina,'Fantasia 2000','House of Mouse',
554,Balloony,,'Phineas and Ferb',
555,Lady Bane,,'Adventures of the Gummi Bears',
556,Banshee,"""Darby O'Gill and the Little People""",,
557,Fang Barbarian,,'Dave the Barbarian',
558,Chelsea Barnes,'Princess Protection Program',,
559,Bash and Bella,,'Big City Greens',
560,Bayard,'Alice in Wonderland (2010 film)',,
561,Bayard,'Alice Through the Looking Glass',,
562,Dr. Sara Bellum,,'Darkwing Duck',
563,Abis Mal's Thugs,'The Return of Jafar','Aladdin (TV series)',
564,Abis Mal's Thugs,'Aladdin and the King of Thieves',,
565,627,,'Lilo & Stitch: The Series',
566,627,,'Stitch!',
567,9-Eye,,,'The Timekeeper'
568,Addison,,'The Suite Life on Deck',
569,Air Pirates,,'TaleSpin',
570,Air Pirates,,'DuckTales (2017 series)',
571,Akita,,'DuckTales (2017 series)',
572,Alacazar,'Elena and the Secret of Avalor','Elena of Avalor',
573,Albert the Monkey,,,'Mystic Manor'
574,Alex,'Lemonade Mouth',,
575,Alexander,,'Hercules (TV series)',
576,All Hands and Mr. Starfish,,"""Chip 'n Dale Rescue Rangers""",
577,Alley Dogs,'Oliver & Company',,
578,Prince Alonso,,'Elena of Avalor',
579,Liv Amara,,'Big Hero 6: The Series',
580,An Yu,,'PJ Masks',
581,Anna,'Frozen',"""It's a Small World: The Animated Series""",'World of Color'
582,Anna,'Frozen II','Once Upon a Time','Disney Dreams!'
583,Anna,'Ralph Breaks the Internet','Frozen: Northern Lights','Celebrate the Magic'
584,Anna,,,'Festival of Fantasy Parade'
585,Anna,,,'Princess Fairytale Hall'
586,Anna,,,"""Mickey's Soundsational Parade"""
587,Anna,,,"""Mickey's Once Upon a Christmastime Parade"""
588,Anna,,,'A Christmas Fantasy Parade'
589,Anna,,,'A Frozen Holiday Wish'
590,Anna,,,'Paint the Night Parade'
591,Anna,,,'Fantasmic!'
592,Anna,,,'Frozen Ever After'
593,Anna,,,'Mickey and the Wondrous Book'
594,Anna,,,"""Mickey's Royal Friendship Faire"""
595,Anna,,,'Frozen: Live at the Hyperion'
596,Anna,,,"""Mickey's Storybook Express"""
597,Anna,,,'Golden Fairytale Fanfare'
598,Anna,,,'Ignite the Dream: A Nighttime Spectacular of Magic and Light'
599,Anna,,,'Once Upon a Time (Tokyo Disneyland)'
600,Anna,,,'Happily Ever After (fireworks show)'
601,Anna,,,"""It's a Small World"""
602,Antonia Bello,,'Elena of Avalor',
603,Aunt Arctic,,,
604,Aunt Bethie,,'Marsupilami (TV series)',
605,Aurora the Telescope,,'Doc McStuffins',
606,Aurora the Telescope,,'The Doc Files',
607,Ava,,'T.O.T.S.',
608,Aziz,,'Aladdin (TV series)',
609,Baby Parasaurolophus,'Dinosaur',,
610,Baby Penguin,'The Little Mermaid II: Return to the Sea',,
611,Baby Red Bird,,'Mickey Mouse Clubhouse',
612,Baby Weems,'The Reluctant Dragon',,
613,Badlands Dan,,'Wander Over Yonder',
614,Bambadee,,,
615,Bando,'Homeward Bound II: Lost in San Francisco',,
616,Professor Bannister,,'Phineas and Ferb',
617,Dave Barbarian,,'Dave the Barbarian',
618,Barry,,'Amphibia',
619,Basil of Baker Street,'The Great Mouse Detective','Darkwing Duck',
620,Basil of Baker Street,'Once Upon a Halloween','House of Mouse',
621,Basil of Baker Street,,'A Poem Is...',
622,Belle's mother,'Beauty and the Beast (2017 film)','Once Upon a Time','Enchanted Tales with Belle'
623,Adira,,'Tangled: The Series',
624,Akela,'The Jungle Book','Jungle Cubs',
625,Akela,"""The Jungle Book: Mowgli's Story""",,
626,Akela,'The Jungle Book (2016 film)',,
627,Aletheia,,'DuckTales (2017 series)',
628,Amal,,'Aladdin (TV series)',
629,Andromeda,,'Big City Greens',
630,Antauri,,'Super Robot Monkey Team Hyperforce Go!',
631,Antonio,,'The Suite Life of Zack & Cody',
632,Aoshima,,'Gravity Falls',
633,Apollo,'Fantasia',,
634,Arabella,,'101 Dalmatian Street',
635,Arachnid,,,
636,Archbishop of Canterbury,'The Story of Robin Hood and His Merrie Men',,
637,Arthur Chaney,'Air Bud',,
638,Ash Delgado,,'Elena of Avalor',
639,Askari,,'The Lion Guard',
640,Baby Baboon,'Tarzan','The Legend of Tarzan',
641,Balloon,'Winnie the Pooh (film)',,
642,Banagi,'King of the Jungle',,
643,Bananas B,,'American Dragon: Jake Long',
644,Bandits,'Mulan II',,
645,Raven Baxter,,"""That's So Raven""",
646,Raven Baxter,,'Cory in the House',
647,Raven Baxter,,'The Suite Life of Zack & Cody',
648,Raven Baxter,,'Sonny with a Chance',
649,Raven Baxter,,"""Raven's Home""",
650,Jimmy Bean,'Pollyanna',,
651,The Bear,'The Fox and the Hound',,
652,Bees,'The Many Adventures of Winnie the Pooh','The New Adventures of Winnie the Pooh','The Many Adventures of Winnie the Pooh (attraction)'
653,Bees,"""Pooh's Grand Adventure: The Search for Christopher Robin""",'The Book of Pooh',"""Pooh's Hunny Hunt"""
654,Bees,'The Tigger Movie',,
655,Bees,"""Piglet's Big Movie""",,
656,Bees,'Winnie the Pooh (film)',,
657,Bees,'Christopher Robin (film)',,
658,Bellhops,,,'The Twilight Zone Tower of Terror'
659,Ben,'Descendants','Descendants: Wicked World',
660,Ben,'Descendants 2',,
661,Ben,'Descendants 3',,
662,Ben,'Descendants: The Royal Wedding',,
663,Abigail,,'Once Upon a Time',
664,Absolem,'Alice in Wonderland (2010 film)',,
665,Absolem,'Alice Through the Looking Glass',,
666,Abu,'Aladdin (film)','Aladdin (TV series)','Garden of the Twelve Friends'
667,Abu,'The Return of Jafar','Hercules (TV series)','Voyage to the Crystal Grotto'
668,Abu,'Aladdin and the King of Thieves','House of Mouse',
669,Abu,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",,
670,Abu,'Disney Princess Enchanted Tales: Follow Your Dreams',,
671,Abu,'Aladdin (2019 film)',,
672,Aconcagua,'Saludos Amigos',,
673,Airiels,,'Adventures of the Gummi Bears',
674,Alley Cats,'The Aristocats','House of Mouse',
675,Mr. Almaden,,'Fillmore!',
676,Aly San San,,,'Star Tours: The Adventures Continue'
677,Anda and Kata,'Brother Bear 2',,
678,Mr. Anderson,'Toy Story 4',,
679,Angel,"""Lady and the Tramp II: Scamp's Adventure""",,
680,Angry and Red,,'Tangled: The Series',
681,"Annette, Collette, and Danielle",'Lady and the Tramp',,
682,"Annette, Collette, and Danielle","""Lady and the Tramp II: Scamp's Adventure""",,
683,"Annette, Collette, and Danielle",'Lady and the Tramp (2019 film)',,
684,Annie,'Annie (1999 film)',,
685,Armand,,'Aladdin (TV series)',
686,Armored Chess Pieces,'Alice in Wonderland (2010 film)',,
687,Army of Scar,,'The Lion Guard',
688,Hamish Ascot,'Alice in Wonderland (2010 film)',,
689,Hamish Ascot,'Alice Through the Looking Glass',,
690,The Auctioneer,"""Pirates of the Caribbean: At World's End""",,'Pirates of the Caribbean (attraction)'
691,Austin Gorg,'Holes',,
692,B.E.N.,'Treasure Planet','Movie Surfers',
693,Babe,'Who Framed Roger Rabbit','Phineas and Ferb','Garden of the Twelve Friends'
694,Babe,'Tall Tale',,
695,Babi,'Treasure Buddies',,
696,Baby Cavenpuss,,"""Milo Murphy's Law""",
697,Kangaroo Joey,,,
698,Baby Shelby,,'Mickey Mouse Works',
699,Baby Shelby,,'House of Mouse',
700,Backwater Jack,,'Quack Pack',
701,Ballerina,,'Sofia the First',
702,The Balloon Lady,'Mary Poppins Returns',,
703,Jane Banks,'Mary Poppins (film)',,
704,Jane Banks,'Mary Poppins Returns',,
705,Winifred Banks,'Mary Poppins (film)',,
706,Winifred Banks,'Mary Poppins Returns',,
707,Winifred Banks,'Saving Mr. Banks',,
708,Baroness Bonbon,,'The 7D',
709,"Doctor Elizabeth ""Liz"" Bartlett",'The Cat from Outer Space',,
710,Bashful,'Snow White and the Seven Dwarfs','Walt Disney anthology series',"""Snow White's Scary Adventures"""
711,Bashful,'Who Framed Roger Rabbit','House of Mouse','Fantasmic!'
712,Bashful,'Flubber','Once Upon a Time',"""Walt Disney's Parade of Dreams"""
713,Bashful,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'The 7D','Mickey Mouse Revue'
714,Bashful,"""Mickey's House of Villains""",'Mickey Mouse (TV series)','Main Street Electrical Parade'
715,Bashful,"""Teacher's Pet (film)""",,'SpectroMagic'
716,Bashful,'The Lion King 1½',,"""Mickey's Once Upon a Christmastime Parade"""
717,Bashful,,,'Light Magic'
718,Bashful,,,'A Christmas Fantasy Parade'
719,Bashful,,,'Festival of Fantasy Parade'
720,Bashful,,,'Seven Dwarfs Mine Train'
721,Bashful,,,'Parade of the Stars'
722,Bastet,,'Hercules: The Animated Series',
723,Beatrice and Daphne,'Cinderella II: Dreams Come True',,
724,Beauty Smith,'White Fang',,
725,Ben and Lon,'Pocahontas (film)',,
726,Gator Adams,,'Dog With a Blog',
727,Alberta Falls,,,'Skipper Canteen'
728,Alberta Falls,,,'Jungle Cruise'
729,Alice,'Alice in Wonderland (1951 film)','Walt Disney anthology series','Alice in Wonderland (Disneyland attraction)'
730,Alice,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'The Mouse Factory',"""Alice's Curious Labyrinth"""
731,Alice,"""Mickey's House of Villains""",'Adventures in Wonderland','Mad Tea Party'
732,Alice,'Once Upon a Halloween','House of Mouse','Mickey Mouse Revue'
733,Alice,'Ralph Breaks the Internet','A Poem Is...',"""Walt Disney's Parade of Dreams"""
734,Alice,,'Once Upon a Time in Wonderland','Fantasmic!'
735,Alice,,'Once Upon a Time','Main Street Electrical Parade'
736,Alice,,'At Home With Olaf','SpectroMagic'
737,Alice,,,'Celebrate a Dreams Come True Parade'
738,Alice,,,'Disney Stars and Motorcars Parade'
739,Alice,,,"""Mickey's Boo-to-You Halloween Parade"""
740,Alice,,,"""Mickey's Once Upon a Christmastime Parade"""
741,Alice,,,'Festival of Fantasy Parade'
742,Alice,,,'Parade of the Stars'
743,Alice,,,'Once Upon a Time (Tokyo Disneyland)'
744,Alice,,,'Happiness is Here Parade'
745,Alice,,,'Disney Stars on Parade'
746,Alice,,,'Dreaming Up!'
747,Alice's Sister,'Alice in Wonderland (1951 film)','Once Upon a Time in Wonderland',
748,Alice's Sister,,'Princess Academy',
749,Alucard Grigorian,,'Big City Greens',
750,Amelia,,'Kim Possible',
751,Amunet,,'DuckTales (2017 series)',
752,Anamaria,'Pirates of the Caribbean: The Curse of the Black Pearl',,
753,Councilor Andam,,'American Dragon: Jake Long',
754,Andy Ape,,'Darkwing Duck',
755,Andy Stanley,,,
756,Annabel Banks,'Mary Poppins Returns',,
757,Queen Anne,'Pocahontas II: Journey to a New World',,
758,Aracuan Bird,'The Three Caballeros','Mickey Mouse Works','Gran Fiesta Tour Starring the Three Caballeros'
759,Aracuan Bird,'Melody Time','House of Mouse',"""Mickey's Soundsational Parade"""
760,Aracuan Bird,'Who Framed Roger Rabbit','Legend of the Three Caballeros',
761,Ariel,'The Little Mermaid','The Little Mermaid (TV series)','Cranium Command'
762,Ariel,'The Little Mermaid II: Return to the Sea',"""Little Mermaid's Island""","""The Little Mermaid: Ariel's Undersea Adventure"""
763,Ariel,"""The Little Mermaid: Ariel's Beginning""",'101 Dalmatians: The Series',"""Mickey's Soundsational Parade"""
764,Ariel,'A Goofy Movie','House of Mouse','World of Color'
765,Ariel,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'A Poem Is...','Voyage of the Little Mermaid'
766,Ariel,"""Mickey's House of Villains""",'Once Upon a Time','Sorcerers of the Magic Kingdom'
767,Ariel,'Once Upon a Halloween','Sofia the First',"""It's a Small World"""
768,Ariel,'The Return of Jafar','The Wonderful World of Disney: The Little Mermaid Live!',"""Mickey's PhilharMagic"""
769,Ariel,'Aladdin and the King of Thieves',,'Fantasmic!'
770,Ariel,'Cinderella III: A Twist in Time',,'The Golden Mickeys'
771,Ariel,'Tangled',,'Disney Stars and Motorcars Parade'
772,Ariel,'Ralph Breaks the Internet',,'Celebrate a Dreams Come True Parade'
773,Ariel,'Aladdin (2019 film)',,'SpectroMagic'
774,Ariel,'Frozen II',,"""Mickey's Once Upon a Christmastime Parade"""
775,Ariel,'The Little Mermaid (live-action film)',,'A Christmas Fantasy Parade'
776,Ariel,,,"""Walt Disney's Parade of Dreams"""
777,Ariel,,,'Festival of Fantasy Parade'
778,Ariel,,,'Remember... Dreams Come True'
779,Ariel,,,'Wishes'
780,Ariel,,,'Parade of the Stars'
781,Ariel,,,'Paint the Night Parade'
782,Ariel,,,'Voyage to the Crystal Grotto'
783,Ariel,,,'Golden Fairytale Fanfare'
784,Ariel,,,'Ignite the Dream: A Nighttime Spectacular of Magic and Light'
785,Ariel,,,"""Peter Pan's Flight"""
786,Princess Astrid,,'Sofia the First',
787,Aunt Cass,'Big Hero 6','Big Hero 6: The Series',
788,Aunt Cass,'Ralph Breaks the Internet',,
789,Aunt Rose and Uncle Chuck,,'Penn Zero: Part-Time Hero',
790,B.O.B.,'The Black Hole',,
791,B.O.Y.D.,,'DuckTales (2017 series)',
792,Baby Booby,,"""Chip 'n Dale Rescue Rangers""",
793,Bacchus,'Fantasia','House of Mouse',
794,Big Bad Wolf,"'Cri-Crí ""el grillito cantor""'",'Walt Disney anthology series','Mickey Mouse Revue'
795,Big Bad Wolf,'Who Framed Roger Rabbit','The Mickey Mouse Club','SpectroMagic'
796,Big Bad Wolf,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'The Mouse Factory',"""Mickey's Boo-to-You Halloween Parade"""
797,Big Bad Wolf,"""Mickey's House of Villains""",'Raw Toonage','Fantasmic!'
798,Big Bad Wolf,,'Bonkers','Parade of the Stars'
799,Big Bad Wolf,,'House of Mouse',"""Mickey's WaterWorks"""
800,Big Bad Wolf,,'Have a Laugh!','Fantasy Gardens'
801,Big Bad Wolf,,'Once Upon a Time','Villains Night Out!'
802,Big Bad Wolf,,'The 7D',
803,Big Bad Wolf,,'Mickey Mouse (TV series)',
804,Big Bad Wolf,,'The Wonderful World of Mickey Mouse',
805,Coco Banana,,'Kim Possible',
806,Candy Barbarian,,'Dave the Barbarian',
807,Baron Von Sheldgoose,,'Legend of the Three Caballeros',
808,Baroness Von Hellman,'Cruella',,
809,Elton Bates,'Freaky Friday (2003)',,
810,Bats Biker,,'Gravity Falls',
811,Beacon Joe,"""Pirates of the Caribbean: Dead Man's Chest""",,'Pirates of the Caribbean'
812,Beacon Joe,,,'Mark Twain Riverboat'
813,Beast,'Beauty and the Beast (1991 film)','House of Mouse','Fantasmic!'
814,Beast,'Beauty and the Beast: The Enchanted Christmas','Once Upon a Time','World of Color'
815,Beast,"""Beauty and the Beast: Belle's Magical World""",'Rumplestiltskin','Celebrate a Dreams Come True Parade'
816,Beast,'Aladdin (film)','Sofia the First',"""Walt Disney's Parade of Dreams"""
817,Beast,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'Mickey Mouse (TV series)',"""Mickey's Once Upon a Christmastime Parade"""
818,Beast,"""Mickey's House of Villains""",'At Home With Olaf','A Christmas Fantasy Parade'
819,Beast,'The Lion King 1½','The Wonderful World of Mickey Mouse','Jubilation!'
820,Beast,'Descendants',,'The Golden Mickeys'
821,Beast,'Beauty and the Beast (2017 film)',,'Festival of Fantasy Parade'
822,Beast,'Descendants 2',,'Paint the Night Parade'
823,Beast,'Descendants 3',,'Mickey and the Magician'
824,Beast,,,'Wonderful World of Animation'
825,Beau,'Tangled',,
826,Beaver,'Tigger & Pooh and a Musical Too','My Friends Tigger & Pooh',
827,Beaver,'Super Duper Super Sleuths',,
828,Beck,,,
829,Connie Benge,"""Doug's 1st Movie""","""Disney's Doug""",
830,Benjamin,"""The Little Mermaid: Ariel's Beginning""",,
831,Beppo the Gorilla,,,
832,Mrs. Bentina Beakley,'DuckTales the Movie: Treasure of the Lost Lamp','DuckTales',
833,Mrs. Bentina Beakley,,'DuckTales (2017 series)',
834,Bernard The Arch Elf,'The Santa Clause',,
835,Bernard The Arch Elf,'The Santa Clause 2',,
836,Debbie Berwick,,'Phil of the Future',
837,Bianca,,"""That's So Raven""",
838,Bennett,,'Sonny with a Chance',
839,Benny,,'Big City Greens',
840,Jasmine Bernstein,,'Crash & Bernstein',
841,Melina Bianco,,'Lizzie McGuire',
842,Billy the Disney Goat,,'Mickey Mouse (TV series)','Big Thunder Mountain Railroad'
843,Billy the Disney Goat,,,"""Jessie's Critter Carousel"""
844,Binga,,'The Lion Guard',
845,Thackery Binx,'Hocus Pocus',,'Hocus Pocus Villain Spelltacular'
846,Jeremy Birnbaum,,'Star vs. the Forces of Evil',
847,The Birthday Bandit,,'Teamo Supremo',
848,Black Scorpions,'Around the World in 80 Days',,
849,Katherine Blake,'Freaky Friday (2018)',,
850,"Blake, Tom, and Billy",'Bolt (film)',,
851,Blaze,,'101 Dalmatians: The Series',
852,Blaze,,'Penn Zero: Part-Time Hero',
853,Mr. Block,,"""Milo Murphy's Law""",
854,Bluebeard,,,'The Haunted Mansion'
855,Matt Bluestone,,'Gargoyles',
856,King Bob,"""Recess: School's Out""",'Recess',
857,King Bob,'Recess: Taking the Fifth Grade',,
858,Bogino,,'The Lion Guard',
859,Boomer,'Leroy & Stitch','Lilo & Stitch: The Series',
860,Boomer,,'Stitch!',
861,Ashley B.,"""Recess: School's Out""",'Recess',
862,Ashley B.,'Recess: Taking the Fifth Grade',,
863,Ashley B.,'Recess: All Growed Down',,
864,Miss Bovina,,,
865,Roger Bowman,'Angels in the Outfield',,
866,Buddasi,'Treasure Buddies',,
867,Billy McBilly,,'Mickey and the Roadster Racers',
868,Billy McBilly,,"""Chip 'n Dale's Nutty Tales""",
869,Buff Frog's Tadpoles,,'Star vs. the Forces of Evil',
870,Bugs,'Winnie the Pooh: A Very Merry Pooh Year','The New Adventures of Winnie the Pooh',
871,Buster,"""Lady and the Tramp II: Scamp's Adventure""",,
872,Brad Buttowski,,'Kick Buttowski: Suburban Daredevil',
873,Kick Buttowski,,'Kick Buttowski: Suburban Daredevil',
874,Camille,,'Jake and the Never Land Pirates',
875,Canina La Fur,,"""Chip 'n Dale Rescue Rangers""",
876,Captain of the Guard,,'Gargoyles',
877,Captain of the Guards,'Tangled','Tangled: The Series',
878,Captain of the Guards,'Tangled: Before Ever After',,
879,Carnotaurus,'Dinosaur',,'DINOSAUR'
880,Carolyn McAdams,'Flight of the Navigator',,
881,Mr. Carruthers,'Snowball Express',,
882,Amanda Bernstein,,'Crash & Bernstein',
883,Betty Lou Van Der Built,,,
884,Big Toot,'Melody Time',,
885,Mr. Big,'Zootopia',,
886,Bimini,'Beverly Hills Chihuahua',,
887,Bimini,'Beverly Hills Chihuahua 2',,
888,King Bingleborp,,'Wander Over Yonder',
889,Balthazar Blake,"""The Sorcerer's Apprentice (film)""",,
890,Dr. Bloodpudding,,'Phineas and Ferb',
891,The Shadow Blot,,,
892,Alice Blue Bonnet,'Make Mine Music','Mickey Mouse (TV series)',
893,Bo'sun,'Pirates of the Caribbean: The Curse of the Black Pearl',,
894,Bonkers D. Bobcat,,'Raw Toonage',"""Mickey's Magical TV World"""
895,Bonkers D. Bobcat,,'Bonkers',
896,Bonkers D. Bobcat,,'Aladdin (TV series)',
897,Bonkers D. Bobcat,,'DuckTales (2017 series)',
898,"Bog, Fens &  Mire",,'Amphibia',
899,Gordon Bombay,'The Mighty Ducks','The Mighty Ducks: Game Changers',
900,Gordon Bombay,'D2: The Mighty Ducks',,
901,Gordon Bombay,'D3: The Mighty Ducks',,
902,Braddock,,,
903,Brain,,,
904,The Bride,"""Let's Go to Disneyland Paris""",'House of Mouse','The Haunted Mansion'
905,The Bride,'Melanie Ravenswood','Constance Hatchaway',
906,The Bride,'The Haunted Mansion (film)',,
907,The Bride,'Elizabeth Henshaw',,
908,Captain Brieux,'The Island at the Top of the World',,'Discovery Bay'
909,Captain Brieux,,,'Cafe Hyperion'
910,Captain Brieux,,,'Skipper Canteen'
911,Brock and Vonnie Zero,,'Penn Zero: Part-Time Hero',
912,Brooklyn,,'Gargoyles',
913,Rupert Brooks,'Snow Dogs',,
914,Brudus,'Fantasia',,
915,Biana Bully,,'Fillmore!',
916,Mr. Burgermeister,'Frankenweenie',,
917,Burners,,'Motorcity',
918,Mr. Busy,'Lady and the Tramp',,
919,Mr. Busy,'Lady and the Tramp (2019 film)',,
920,Meteora Butterfly,,'Star vs. the Forces of Evil',
921,Cacahuate,,'Elena of Avalor',
922,Dr. Calico,'Bolt (film)',,
923,Princess Calla,,'Adventures of the Gummi Bears',
924,Calliope,"""Rodgers & Hammerstein's Cinderella""",,
925,Capricious Harmony,,,
926,Captain Al Bahtross,,'Aladdin (TV series)',
927,Captain Quaid,,'Tangled: The Series',
928,Captain Sticky,,'Recess',
929,Officer/Sgt. Carmody,'The Ugly Dachshund',,
930,Carol Newman-Calvin,'The Santa Clause 2',,
931,Carol Newman-Calvin,'The Santa Clause 3: The Escape Clause',,
932,Carrie (Austin & Ally),,'Austin and Ally',
933,Bessie,,'101 Dalmatian Street',
934,Ms. Birch,,'American Dragon: Jake Long',
935,Black Heron,,'DuckTales (2017 series)',
936,Boomer Bledsoe,,'Doug',
937,Bill Bluff,"""Doug's 1st Movie""","""Disney's Doug""",
938,Rita Book,,'Timon & Pumbaa',
939,Brian,,"""Kickin' It""",
940,Bridget,,'Vampirina',
941,"""Big Daddy"" Brotherson",,'Kim Possible',
942,Brutus and Nero,'The Rescuers','DuckTales',
943,Brutus and Nero,'Fantasia 2000',,
944,Brutus and Nero,'Once Upon a Halloween',,
945,Buddy,,"""Disney's Adventures of the Gummi Bears""",
946,Bumble,'Melody Time',,'Happiness is Here Parade'
947,Bunga,'The Lion Guard: Return of the Roar','The Lion Guard',
948,Bunga,,"""It's UnBungalievable!""",
949,Billy Butcherson,'Hocus Pocus',,
950,Caleb,,'W.I.T.C.H. (TV series)',
951,Callista,,'Hercules: The Animated Series',
952,Taylor Callum,'Cow Belles',,
953,Cameron,,'PJ Masks',
954,Captain Gore,,,'The Haunted Mansion'
955,Captain Gore,,,'Pirates of the Caribbean (attraction)'
956,Card Soldiers,'Alice in Wonderland (1951 film)','House of Mouse','Alice in Wonderland (Disneyland attraction)'
957,Card Soldiers,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'Once Upon a Time',"""Alice's Curious Labyrinth"""
958,Card Soldiers,"""Mickey's House of Villains""",'Once Upon a Time in Wonderland',"""Walt Disney's Parade of Dreams"""
959,Card Soldiers,'Once Upon a Halloween',,
960,Big Al,'The Country Bears',,'Country Bear Jamboree'
961,Big Al,,,'Country Bear Vacation Hoedown'
962,Big Al,,,'Country Bear Christmas Special'
963,Big Al,,,"""Mickey's Boo-to-You Halloween Parade"""
964,Big Al,,,'Parade of the Stars'
965,Billy the Squid,,"""Chip 'n Dale Rescue Rangers""",
966,Birds,'Cinderella (1950 film)','House of Mouse',"""Cinderella's Fairy Tale Hall"""
967,Birds,'Cinderella II: Dreams Come True',,"""Cinderella's Golden Carousel"""
968,Birds,'Cinderella III: A Twist in Time',,
969,Birds,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",,
970,Birds,'Cinderella (2015 film)',,
971,Birds,'Ralph Breaks the Internet',,
972,Lola Boa,,'Brandy & Mr. Whiskers',
973,Bob and Flo Spinelli,"""Recess: School's Out""",'Recess',
974,Bobo,,'Elena of Avalor',
975,Boi,'High School Musical 2','Hannah Montana','Disneyland Paris'
976,Boi,'High School Musical 3','House of Mouse',
977,Boi,"""Sharpay's Fabulous Adventure""",'Kim Possible',
978,Boi,,'The Suite Life of Zack & Cody',
979,Mrs. Bolt,,'Lloyd in Space',
980,Boscha,,'The Owl House',
981,Professor Brainard,'The Absent-Minded Professor',,'Journey Into Imagination With Figment'
982,Professor Brainard,'Son of Flubber',,
983,Professor Brainard,'Flubber',,
984,Brainteasers,,'Darkwing Duck',
985,Brent,,'Randy Cunningham: 9th Grade Ninja',
986,Ted Brooks,'Snow Dogs',,
987,Bruni,'Frozen II',,
988,Cobra Bubbles,'Lilo & Stitch','Lilo & Stitch: The Series',
989,Cobra Bubbles,'Stitch! The Movie','Stitch & Ai',
990,Cobra Bubbles,'Leroy & Stitch',,
991,Buck Buckerson,,'Phineas and Ferb',
992,Bucky Bug,'Who Framed Roger Rabbit',,
993,Bupu,,'The Lion Guard',
994,Butch,,,
995,"Buzzie, Flaps, Ziggy, and Dizzy",'The Jungle Book','House of Mouse',
996,"Buzzie, Flaps, Ziggy, and Dizzy",'The Jungle Book 2','Mickey Mouse (TV series)',
997,"Buzzie, Flaps, Ziggy, and Dizzy",'Who Framed Roger Rabbit',,
998,Abigail Callaghan,'Big Hero 6','Big Hero 6: The Series',
999,The Canadian Organization Without a Cool Acronym,,'Phineas and Ferb',
1000,Cannonball,'Leroy & Stitch','Lilo & Stitch: The Series',"""Stitch's Great Escape!"""
1001,Captain,'Cinderella (2015 film)',,
1002,Captain EO,,,
1003,Captain Rochefort,'The Three Musketeers',,
1004,Captain Super Captain,,'Penn Zero: Part-Time Hero',
1005,José Carioca,'Saludos Amigos','Walt Disney anthology series','Mickey Mouse Revue'
1006,José Carioca,'The Three Caballeros','Mickey Mouse Works','Gran Fiesta Tour Starring the Three Caballeros'
1007,José Carioca,'Melody Time','House of Mouse',"""It's a Small World"""
1008,José Carioca,'Who Framed Roger Rabbit','A Poem Is...',"""Mickey's Soundsational Parade"""
1009,José Carioca,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""","""It's a Small World: The Animated Series""",'Fashionable Easter'
1010,José Carioca,"""Mickey's House of Villains""",'Mickey Mouse (TV series)',"""Mickey's Most Merriest Celebration"""
1011,José Carioca,,'Mickey and the Roadster Racers',
1012,José Carioca,,'Legend of the Three Caballeros',
1013,José Carioca,,'DuckTales (2017 series)',
1014,Carlos Sanchez,,'Lizzie McGuire',
1015,Carter,'Muppets Most Wanted','Muppets Tonight (page does not exist)',
1016,Carter,,'Disney Drive-On with The Muppets',
1017,Black Triangles,'Fantasia 2000',,
1018,King Blowhard,,'DuckTales',
1019,Derek Blunt,,'Darkwing Duck',
1020,Boniface,,,
1021,Boone Wiseman,,'Penn Zero: Part-Time Hero',
1022,Boonnetta Proud,,'The Proud Family',
1023,Boppy,,'Doc McStuffins',
1024,Boppy,,'The Doc Files',
1025,Boreas,,'Hercules (TV series)',
1026,Bouncing Bumble Queen,,'Jake and the Never Land Pirates',
1027,Bowtie,,'Miles from Tomorrowland',
1028,Boy Beaver,,'Timon & Pumbaa',
1029,Br'er Frog,'Song of the South',,'Splash Mountain'
1030,Br'er Frog,,,'Mark Twain Riverboat'
1031,Br'er Frog,,,'Disneyland'
1032,Br'er Rabbit,'Song of the South','Walt Disney anthology series','Splash Mountain'
1033,Br'er Rabbit,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'The Mouse Factory','Mickey Mouse Revue'
