,names,films,tv_shows,park_attractions
321,Beetleworx,,,
322,Mayor Befufftlefumpter,,'Gravity Falls',
323,Belinda,'Air Buddies',,
324,Belle's Sisters,'Beauty and the Beast (1991 film)',,
325,Able,,'Tron: Uprising',
326,'Olu Mel,,,
327,Agent E,,'Phineas and Ferb',
328,Alberto and Antonio,'Beverly Hills Chihuahua 2',,
329,Allan-a-Dale,'The Story of Robin Hood and His Merrie Men',,
330,Amigo,,,
331,Aminifu,,'The Lion Guard',
332,Andres Padillo,'Upside-Down Magic',,
333,Anna Petterson,,'Tower of Terror (film)',
334,Antie,'Honey,,'Honey
335,Antie,I Shrunk the Kids',,I Shrunk the Kids: Movie Set Adventure'
336,Apatosaurus,'Fantasia','The Little Mermaid (TV series)','Ford Magic Skyway'
337,Apatosaurus,'The Good Dinosaur','The Legend of Tarzan','Primeval World'
338,Apatosaurus,,,'Universe of Energy'
339,Aphrodite,'Hercules (film)','Hercules (TV series)',
340,Aphroducky,,'DuckTales',
341,Aquarianne,,'Adventures of the Gummi Bears',
342,Artemis Fowl I,'Artemis Fowl',,
343,Artie Smalls,,'Liv & Maddie',
344,King Augustus,,'The Little Mermaid (TV series)',
345,Aunt Em,"""The Muppets' Wizard of Oz""",,
346,General Shirley B. Awesome,,'Penn Zero: Part-Time Hero',
347,Baampu,,'Timon & Pumbaa',
348,Backson,'Winnie the Pooh (film)',,
349,Bartholomew,'The Great Mouse Detective',,
350,Bat Queen,,'The Owl House',
351,Cory Baxter,,"""That's So Raven""",
352,Cory Baxter,,'Cory in the House',
353,Tanya Baxter,,"""That's So Raven""",
354,Tanya Baxter,,"""Raven's Home""",
355,Beagle Boys,"""Mickey's Once Upon a Christmas""",'DuckTales',
356,Beagle Boys,'Mickey,'Darkwing Duck',
357,Beagle Boys,Donald,'Goof Troop',
358,Beagle Boys,Goofy: The Three Musketeers','Bonkers',
359,Beagle Boys,,'Quack Pack',
360,Beagle Boys,,'Mickey Mouse (TV series)',
361,Beagle Boys,,'DuckTales (2017 series)',
362,Beagle Boys,,'The Wonderful World of Mickey Mouse',
363,Boom-Boom Beagle,,'DuckTales',
364,Eega Beeva,,,
365,Abuelito,,'Handy Manny',
366,Belle,'Beauty and the Beast (1991 film)','Sing Me a Story with Belle','Fantasmic!'
367,Belle,'Beauty and the Beast: The Enchanted Christmas','House of Mouse','Enchanted Tales with Belle'
368,Belle,"""Beauty and the Beast: Belle's Magical World""",'Once Upon a Time',"""Mickey's Soundsational Parade"""
369,Belle,'The Hunchback of Notre Dame','A Poem Is...',"""Walt Disney's Parade of Dreams"""
370,Belle,"""Belle's Tales of Friendship""",'Sofia the First','World of Color'
371,Belle,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'Mickey Mouse (TV series)',"""Mickey's Once Upon a Christmastime Parade"""
372,Belle,'The Lion King 1½','Elena of Avalor','The Golden Mickeys'
373,Belle,"""Mickey's House of Villains""",'At Home With Olaf','Celebrate a Dreams Come True Parade'
374,Belle,'Enchanted',,'A Christmas Fantasy Parade'
375,Belle,'Descendants',,'Jubilation!'
376,Belle,'Beauty and the Beast (2017 film)',,'Festival of Fantasy Parade'
377,Belle,'Descendants 2',,'Parade of the Stars'
378,Belle,'Ralph Breaks the Internet',,'Paint the Night'
379,Belle,'Descendants 3',,'Mickey and the Magician'
380,Belle,,,'Wonderful World of Animation'
381,Prince Achmed,'Aladdin (film)','Once Upon a Time',
382,Prince Achmed,'Aladdin (2019 film)',,
383,Ada,,'Tron: Uprising',
384,Adelbert's Father,,,
385,Agent K,,'The Replacements',
386,Ajabu,,'The Lion Guard',
387,The Altos,,'The Proud Family',
388,Di Amara,,'Big Hero 6: The Series',
389,Angela,,'Gargoyles',
390,Angelique,'Beauty and the Beast: The Enchanted Christmas',,'Be Our Guest Restaurant'
391,Angelique,"""Mickey's Once Upon a Christmas""",,
392,"Anthropomorphic ""Drink Me"" Bottle",'Alice in Wonderland (1951 film)',,
393,Aramis,'The Three Musketeers',,
394,Archdeacon,'The Hunchback of Notre Dame',,
395,Archdeacon,'The Hunchback of Notre Dame II',,
396,Archimedes,'The Sword in the Stone','House of Mouse',
397,Archimedes,,'Once Upon a Time',
398,Archimedes,,'Sofia the First',
399,Ares,'Hercules','Hercules (TV series)',
400,Armoured Cards,'Alice in Wonderland (2010 film)',,'Alice in Wonderland Maze'
401,Armoured Cards,'Alice Through the Looking Glass',,'The Nightmare Experiment'
402,Artie Deco,,'Adventures of the Gummi Bears',
403,Aunt Sponge,'James and the Giant Peach',,
404,Mrs. Herman,'Who Framed Roger Rabbit',,
405,Bagheera,'The Jungle Book','Jungle Cubs','Journey into the Jungle Book'
406,Bagheera,'The Jungle Book 2','House of Mouse','World of Color'
407,Bagheera,"""The Jungle Book: Mowgli's Story""",,
408,Bagheera,"""Rudyard Kipling's The Jungle Book""",,
409,Bagheera,'The Jungle Book (2016 film)',,
410,Bella Bailey,,'The Evermoor Chronicles',
411,Baker's Wife,'Into the Woods',,
412,Sir Bartleby,,'Sofia the First',
413,Grandpa Beagle,,,
414,Becky Little,,'Pepper Ann',
415,Beelzebub,'Who Framed Roger Rabbit',,
416,Phillium Benedict,"""Recess: School's Out""",,
417,Carole Bennet,'The Love Bug',,
418,Carole Bennet,'The Love Bug (1997 film)',,
419,A.B.E.,,,
420,Ace,'Leroy & Stitch','Lilo & Stitch: The Series',
421,Ace,,'Stitch!',
422,Addison,'Zombies',"""Addison's Moonstone Mystery (page does not exist)""",
423,Addison,'Zombies 2',,
424,Addison,'Zombies 3',,
425,Aladar,'Dinosaur',,'DINOSAUR'
426,Alchemy,,'W.I.T.C.H. (TV series)',
427,Ally,,'Descendants: Wicked World',
428,Princess Amber,'Sofia the First: Once Upon a Princess','Sofia the First',
429,Princess Amber,'Elena and the Secret of Avalor','Elena of Avalor',
430,Ammand the Corsair,"""Pirates of the Caribbean: At World's End""",,
431,Chef Andre,,'Sofia the First',
432,Andre Dupas,'Nikki,,
433,Andre Dupas,Wild Dog of the North',,
434,Brooke Angels,'Princess Protection Program',,
