Name,Films,TV Shows,Short Films,Allies,Enemies,Park Attractions
The Bandersnatch,"['Alice in Wonderland (2010 film)', 'Alice Through the Looking Glass']",['Once Upon a Time in Wonderland'],[],[],[],[]
George Banks,"['Mary Poppins (film)', 'Saving Mr. Banks', 'Mary Poppins Returns']",[],[],[],[],[]
Mr. Bannister,[],['Randy Cunningham: 9th Grade Ninja'],[],[],[],[]
Hector Barbossa,"['Pirates of the Caribbean: The Curse of the Black Pearl', ""Pirates of the Caribbean: Dead Man's Chest"", ""Pirates of the Caribbean: At World's End"", 'Pirates of the Caribbean: On Stranger Tides', 'Pirates of the Caribbean: Dead Men Tell No Tales']",[],[],[],[],"['Pirates of the Caribbean (ride)', ""Mickey's Boo-to-You Halloween Parade"", ""A Pirate's Adventure: Treasures of the Seven Seas"", 'Pirates Summer Battle ""Get Wet!""', 'Fantasmic!']"
Baron Von Rocha,[],['Sofia the First'],[],[],[],[]
Beach Ball Grandpappy,[],['Penn Zero: Part-Time Hero'],[],[],[],[]
Bebe,[],['Kim Possible'],[],[],[],['Kim Possible World Showcase Adventure']
Ted Bedderhead,['The Country Bears'],[],[],[],[],[]
Beevilweevils,[],['Adventures of the Gummi Bears'],[],[],[],[]
Belle's Suitors,['Beauty and the Beast (1991 film)'],[],[],[],[],[]
Abraxas,[],[],[],[],[],[]
Achilles,"['The Hunchback of Notre Dame', 'The Hunchback of Notre Dame II']",[],[],[],[],[]
Abigail Markham,[],['The Legend of Tarzan'],[],[],[],[]
Abuelita,[],['Gravity Falls'],[],[],[],[]
AC and DC,[],['Big Hero 6: The Series'],[],[],[],[]
Professor Acari,[],['Kim Possible'],[],[],[],[]
King Agnarr,"['Frozen', 'Ralph Breaks the Internet', 'Frozen II']",['Once Upon a Time'],"[""Olaf's Frozen Adventure""]",[],[],['Frozen: Live at the Hyperion']
Air Bud,"['Air Bud', 'Air Bud: Golden Receiver', 'Air Bud: World Pup', 'Air Bud: Seventh Inning Fetch', 'Air Bud: Spikes Back', 'Air Buddies', 'Snow Buddies', 'Space Buddies', 'Santa Buddies', 'Ralph Breaks the Internet']",[],[],[],[],[]
Uncle Albert,['Mary Poppins (film)'],[],[],[],[],[]
Allie,[],"[""Where's My Water?: Swampy's Underground Adventures""]",[],[],[],[]
Alucard Van Heusen,[],['Wizards of Waverly Place'],[],[],[],[]
Amity Blight,[],['The Owl House'],[],[],[],[]
Amnesio,['Leroy & Stitch'],"['Lilo & Stitch: The Series', 'Stitch!']",[],[],[],"[""Stitch's Great Escape!""]"
Andrea Framm,"['Air Bud', 'Air Bud: Golden Receiver', 'Air Bud: World Pup', 'Air Bud: Seventh Inning Fetch', 'Air Bud: Spikes Back', 'Air Buddies']",[],[],[],[],[]
Angel,['Leroy & Stitch'],"['Lilo & Stitch: The Series', 'Stitch!']",[],[],[],"['Fantasmic!', ""Stitch's Great Escape!"", ""Halloween Pop'n LIVE""]"
Angus,['Mary Poppins Returns'],[],[],[],[],[]
Anon,[],[],[],[],[],[]
Antoinette,[],['Quack Pack'],[],[],[],[]
Apollo,['Hercules (film)'],['Hercules (TV series)'],[],[],[],[]
Queen Arianna,"['Tangled', 'Tangled: Before Ever After']","['Once Upon a Time', 'Tangled: The Series']","['Tangled Ever After', 'Hare Peace']",[],[],"['Celebrate the Magic', 'Jingle Bell, Jingle BAM!']"
Athena,['Kim Possible (film)'],['Kim Hushable'],[],[],[],[]
B.R.A.W.N.,[],['Mighty Ducks (TV series)'],[],[],[],[]
Baby Thaddeus,[],"[""Chip 'n Dale Rescue Rangers""]",[],[],[],[]
Bad-7,[],[],[],[],[],[]
Bahuka,[],['Timon & Pumbaa'],[],[],[],[]
Bambi,"['Bambi (film)', 'Bambi II', 'Perri', 'The Rescuers', 'Who Framed Roger Rabbit', ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", 'A Goofy Movie', 'The Reluctant Dragon', 'Zootopia', 'Ralph Breaks the Internet', 'Bambi (live-action film)']","['House of Mouse', 'A Poem Is...', 'Mickey Mouse (TV series)']",['No Hunting'],[],[],"[""It's a Small World"", 'Fantasmic!', 'World of Color', 'Celebrate the Magic', 'Main Street Electrical Parade', 'Jingle Bell, Jingle BAM!']"
Bandito Gang,[],[],[],[],[],"['Western River Expedition', 'World of Motion']"
The Barker Bird,[],[],[],[],[],['Pirates of the Caribbean']
Basi,[],['The Lion Guard'],[],[],[],[]
Beetleworx,[],[],[],[],[],[]
Mayor Befufftlefumpter,[],['Gravity Falls'],[],[],[],[]
Belinda,['Air Buddies'],[],[],[],[],[]
Belle's Sisters,['Beauty and the Beast (1991 film)'],[],[],[],[],[]
Able,[],['Tron: Uprising'],[],[],[],[]
'Olu Mel,[],[],[],[],[],[]
Agent E,[],['Phineas and Ferb'],[],[],[],[]
Alberto and Antonio,['Beverly Hills Chihuahua 2'],[],[],[],[],[]
Allan-a-Dale,['The Story of Robin Hood and His Merrie Men'],[],[],[],[],[]
Amigo,[],[],[],[],[],[]
Aminifu,[],['The Lion Guard'],[],[],[],[]
Andres Padillo,['Upside-Down Magic'],[],[],[],[],[]
Anna Petterson,[],['Tower of Terror (film)'],[],[],[],[]
Antie,"['Honey, I Shrunk the Kids']",[],[],[],[],"['Honey, I Shrunk the Kids: Movie Set Adventure']"
Apatosaurus,"['Fantasia', 'The Good Dinosaur']","['The Little Mermaid (TV series)', 'The Legend of Tarzan']",[],[],[],"['Ford Magic Skyway', 'Primeval World', 'Universe of Energy']"
Aphrodite,['Hercules (film)'],['Hercules (TV series)'],[],[],[],[]
Aphroducky,[],['DuckTales'],[],[],[],[]
Aquarianne,[],['Adventures of the Gummi Bears'],[],[],[],[]
Artemis Fowl I,['Artemis Fowl'],[],[],[],[],[]
Artie Smalls,[],['Liv & Maddie'],[],[],[],[]
King Augustus,[],['The Little Mermaid (TV series)'],[],[],[],[]
Aunt Em,"[""The Muppets' Wizard of Oz""]",[],[],[],[],[]
General Shirley B. Awesome,[],['Penn Zero: Part-Time Hero'],[],[],[],[]
Baampu,[],['Timon & Pumbaa'],[],[],[],[]
Backson,['Winnie the Pooh (film)'],[],[],[],[],[]
Bartholomew,['The Great Mouse Detective'],[],[],[],[],[]
Bat Queen,[],['The Owl House'],[],[],[],[]
Cory Baxter,[],"[""That's So Raven"", 'Cory in the House']",[],[],[],[]
Tanya Baxter,[],"[""That's So Raven"", ""Raven's Home""]",[],[],[],[]
Beagle Boys,"[""Mickey's Once Upon a Christmas"", 'Mickey, Donald, Goofy: The Three Musketeers']","['DuckTales', 'Darkwing Duck', 'Goof Troop', 'Bonkers', 'Quack Pack', 'Mickey Mouse (TV series)', 'DuckTales (2017 series)', 'The Wonderful World of Mickey Mouse']","['Sport Goofy in Soccermania', 'Swabbies']",[],[],[]
Boom-Boom Beagle,[],['DuckTales'],[],[],[],[]
Eega Beeva,[],[],[],[],[],[]
Abuelito,[],['Handy Manny'],[],[],[],[]
Belle,"['Beauty and the Beast (1991 film)', 'Beauty and the Beast: The Enchanted Christmas', ""Beauty and the Beast: Belle's Magical World"", 'The Hunchback of Notre Dame', ""Belle's Tales of Friendship"", ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", 'The Lion King 1½', ""Mickey's House of Villains"", 'Enchanted', 'Descendants', 'Beauty and the Beast (2017 film)', 'Descendants 2', 'Ralph Breaks the Internet', 'Descendants 3']","['Sing Me a Story with Belle', 'House of Mouse', 'Once Upon a Time', 'A Poem Is...', 'Sofia the First', 'Mickey Mouse (TV series)', 'Elena of Avalor', 'At Home With Olaf']",[],[],[],"['Fantasmic!', 'Enchanted Tales with Belle', ""Mickey's Soundsational Parade"", ""Walt Disney's Parade of Dreams"", 'World of Color', ""Mickey's Once Upon a Christmastime Parade"", 'The Golden Mickeys', 'Celebrate a Dreams Come True Parade', 'A Christmas Fantasy Parade', 'Jubilation!', 'Festival of Fantasy Parade', 'Parade of the Stars', 'Paint the Night', 'Mickey and the Magician', 'Wonderful World of Animation']"
Prince Achmed,"['Aladdin (film)', 'Aladdin (2019 film)']",['Once Upon a Time'],[],[],[],[]
Ada,[],['Tron: Uprising'],[],[],[],[]
Adelbert's Father,[],[],"[""Mickey's Good Deed""]",[],[],[]
Agent K,[],['The Replacements'],[],[],[],[]
Ajabu,[],['The Lion Guard'],[],[],[],[]
The Altos,[],['The Proud Family'],[],[],[],[]
Di Amara,[],['Big Hero 6: The Series'],[],[],[],[]
Angela,[],['Gargoyles'],[],[],[],[]
Angelique,"['Beauty and the Beast: The Enchanted Christmas', ""Mickey's Once Upon a Christmas""]",[],[],[],[],['Be Our Guest Restaurant']
"Anthropomorphic ""Drink Me"" Bottle",['Alice in Wonderland (1951 film)'],[],[],[],[],[]
Aramis,['The Three Musketeers'],[],[],[],[],[]
Archdeacon,"['The Hunchback of Notre Dame', 'The Hunchback of Notre Dame II']",[],[],[],[],[]
Archimedes,['The Sword in the Stone'],"['House of Mouse', 'Once Upon a Time', 'Sofia the First']",[],[],[],[]
Ares,['Hercules'],['Hercules (TV series)'],[],[],[],[]
Armoured Cards,"['Alice in Wonderland (2010 film)', 'Alice Through the Looking Glass']",[],[],[],[],"['Alice in Wonderland Maze', 'The Nightmare Experiment']"
Artie Deco,[],['Adventures of the Gummi Bears'],[],[],[],[]
Aunt Sponge,['James and the Giant Peach'],[],[],[],[],[]
Mrs. Herman,['Who Framed Roger Rabbit'],[],"['Who Framed Roger Rabbit', 'Tummy Trouble', 'Trail Mix-Up', 'Roller Coaster Rabbit']",[],[],[]
Bagheera,"['The Jungle Book', 'The Jungle Book 2', ""The Jungle Book: Mowgli's Story"", ""Rudyard Kipling's The Jungle Book"", 'The Jungle Book (2016 film)']","['Jungle Cubs', 'House of Mouse']",[],[],[],"['Journey into the Jungle Book', 'World of Color']"
Bella Bailey,[],['The Evermoor Chronicles'],[],[],[],[]
Baker's Wife,['Into the Woods'],[],[],[],[],[]
Sir Bartleby,[],['Sofia the First'],[],[],[],[]
Grandpa Beagle,[],[],[],[],[],[]
Becky Little,[],['Pepper Ann'],[],[],[],[]
Beelzebub,['Who Framed Roger Rabbit'],[],['Trick or Treat (cartoon)'],[],[],[]
Phillium Benedict,"[""Recess: School's Out""]",[],[],[],[],[]
Carole Bennet,"['The Love Bug', 'The Love Bug (1997 film)']",[],[],[],[],[]
A.B.E.,[],[],[],[],[],[]
Ace,['Leroy & Stitch'],"['Lilo & Stitch: The Series', 'Stitch!']",[],[],[],[]
Addison,"['Zombies', 'Zombies 2', 'Zombies 3']","[""Addison's Moonstone Mystery (page does not exist)""]",[],[],[],[]
Aladar,['Dinosaur'],[],[],[],[],['DINOSAUR']
Alchemy,[],['W.I.T.C.H. (TV series)'],[],[],[],[]
Ally,[],['Descendants: Wicked World'],[],[],[],[]
Princess Amber,"['Sofia the First: Once Upon a Princess', 'Elena and the Secret of Avalor']","['Sofia the First', 'Elena of Avalor']",[],[],[],[]
Ammand the Corsair,"[""Pirates of the Caribbean: At World's End""]",[],[],[],[],[]
Chef Andre,[],['Sofia the First'],[],[],[],[]
Andre Dupas,"['Nikki, Wild Dog of the North']",[],[],[],[],[]
Brooke Angels,['Princess Protection Program'],[],[],[],[],[]
Anna and Fontana,['The Princess Diaries'],[],[],[],[],[]
Anti-Heroes Club,[],[],[],[],[],[]
April,[],[],[],[],[],[]
Arbutus,[],['Aladdin (TV series)'],[],[],[],[]
Arnold Mousenegger and Sugar Ray Lizard,[],"[""Chip 'n Dale Rescue Rangers""]",[],[],[],[]
Lord Ascot,"['Alice in Wonderland (2010 film)', 'Alice Through the Looking Glass']",[],[],[],[],[]
Attila,"['Tangled', 'Tangled: Before Ever After']",['Tangled: The Series'],['Tangled Ever After'],[],[],['Wishes (Disney Fantasy)']
Aunt Ena,"['Bambi (film)', 'Bambi II']",[],[],[],[],[]
Aurora,"['Sleeping Beauty', 'Oliver & Company', 'The Little Mermaid', ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", ""Mickey's House of Villains"", 'Disney Princess Enchanted Tales: Follow Your Dreams', 'Maleficent (film)', 'Ralph Breaks the Internet', 'Maleficent: Mistress of Evil']","['Mickey Mouse Works', 'House of Mouse', 'A Poem Is...', 'Once Upon a Time', 'Sofia the First']",[],[],[],"['Sleeping Beauty Castle', 'Le Château de la Belle au Bois Dormant', 'Fantasmic!', 'Dream Along With Mickey', 'World of Color', 'Cinderella Castle Mystery Tour', ""Mickey's Soundsational Parade"", ""Walt Disney's Parade of Dreams"", 'The Golden Mickeys', ""Mickey's Once Upon a Christmastime Parade"", 'A Christmas Fantasy Parade', 'Jubilation!', 'Celebrate a Dreams Come True Parade', 'Princess Fairytale Hall', 'Parade of the Stars', 'Disney Dreams!']"
Seb Bailey,[],['The Evermoor Chronicles'],[],[],[],[]
Adam Banks,"['The Mighty Ducks', 'D2: The Mighty Ducks', 'D3: The Mighty Ducks']",['The Mighty Ducks: Game Changers'],[],[],[],[]
Baron Von Steamer,[],['Big Hero 6: The Series'],[],[],[],[]
